1, badlands, minecraft:badlands, MONSTER, minecraft:spider, 80, 4, 4
2, badlands, minecraft:badlands, MONSTER, minecraft:zombie, 80, 4, 4
3, badlands, minecraft:badlands, MONSTER, minecraft:zombie_villager, 5, 1, 1
4, badlands, minecraft:badlands, MONSTER, minecraft:skeleton, 80, 4, 4
5, badlands, minecraft:badlands, MONSTER, minecraft:creeper, 80, 4, 4
6, badlands, minecraft:badlands, MONSTER, minecraft:slime, 80, 4, 4
7, badlands, minecraft:badlands, MONSTER, minecraft:enderman, 10, 1, 4
8, badlands, minecraft:badlands, MONSTER, minecraft:witch, 5, 1, 1
9, badlands, minecraft:badlands, MONSTER, bewitchment:ghost, 20, 1, 1
10, badlands, minecraft:badlands, AMBIENT, minecraft:bat, 10, 8, 8
11, badlands, minecraft:badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
12, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:spider, 80, 4, 4
13, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie, 80, 4, 4
14, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie_villager, 5, 1, 1
15, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:skeleton, 80, 4, 4
16, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:creeper, 80, 4, 4
17, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:slime, 80, 4, 4
18, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:enderman, 10, 1, 4
19, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:witch, 5, 1, 1
20, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:ocelot, 5, 1, 1
21, jungle, minecraft:bamboo_jungle, MONSTER, bewitchment:ghost, 20, 1, 1
22, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:sheep, 12, 4, 4
23, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:parrot, 40, 1, 2
24, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:panda, 80, 1, 2
25, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:frog, 8, 3, 4
26, jungle, minecraft:bamboo_jungle, CREATURE, bewitchment:toad, 10, 1, 3
27, jungle, minecraft:bamboo_jungle, AMBIENT, minecraft:bat, 10, 8, 8
28, jungle, minecraft:bamboo_jungle, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
29, nether, minecraft:basalt_deltas, MONSTER, minecraft:ghast, 40, 1, 1
30, nether, minecraft:basalt_deltas, MONSTER, minecraft:magma_cube, 80, 2, 5
31, nether, minecraft:basalt_deltas, MONSTER, bewitchment:hellhound, 6, 1, 1
32, nether, minecraft:basalt_deltas, MONSTER, minecraft:zombified_piglin, 5, 1, 4
33, nether, minecraft:basalt_deltas, CREATURE, minecraft:strider, 60, 1, 2
34, beach, minecraft:beach, MONSTER, minecraft:spider, 80, 4, 4
35, beach, minecraft:beach, MONSTER, minecraft:zombie, 80, 4, 4
36, beach, minecraft:beach, MONSTER, minecraft:zombie_villager, 5, 1, 1
37, beach, minecraft:beach, MONSTER, minecraft:skeleton, 80, 4, 4
38, beach, minecraft:beach, MONSTER, minecraft:creeper, 80, 4, 4
39, beach, minecraft:beach, MONSTER, minecraft:slime, 80, 4, 4
40, beach, minecraft:beach, MONSTER, minecraft:enderman, 10, 1, 4
41, beach, minecraft:beach, MONSTER, minecraft:witch, 5, 1, 1
42, beach, minecraft:beach, MONSTER, bewitchment:ghost, 20, 1, 1
43, beach, minecraft:beach, CREATURE, minecraft:turtle, 5, 2, 5
44, beach, minecraft:beach, CREATURE, wildernature:flamingo, 9, 3, 6
45, beach, minecraft:beach, CREATURE, wildernature:pelican, 7, 3, 5
46, beach, minecraft:beach, AMBIENT, minecraft:bat, 10, 8, 8
47, beach, minecraft:beach, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
48, forest, minecraft:birch_forest, MONSTER, minecraft:spider, 80, 4, 4
49, forest, minecraft:birch_forest, MONSTER, minecraft:zombie, 80, 4, 4
50, forest, minecraft:birch_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
51, forest, minecraft:birch_forest, MONSTER, minecraft:skeleton, 80, 4, 4
52, forest, minecraft:birch_forest, MONSTER, minecraft:creeper, 80, 4, 4
53, forest, minecraft:birch_forest, MONSTER, minecraft:slime, 80, 4, 4
54, forest, minecraft:birch_forest, MONSTER, minecraft:enderman, 10, 1, 4
55, forest, minecraft:birch_forest, MONSTER, minecraft:witch, 5, 1, 1
56, forest, minecraft:birch_forest, MONSTER, bewitchment:ghost, 20, 1, 1
57, forest, minecraft:birch_forest, MONSTER, bewitchment:werewolf, 20, 1, 1
58, forest, minecraft:birch_forest, CREATURE, minecraft:sheep, 12, 4, 4
59, forest, minecraft:birch_forest, CREATURE, minecraft:cow, 8, 4, 4
60, forest, minecraft:birch_forest, CREATURE, wildernature:boar, 14, 4, 5
61, forest, minecraft:birch_forest, CREATURE, wildernature:deer, 13, 2, 4
62, forest, minecraft:birch_forest, CREATURE, wildernature:hedgehog, 13, 1, 3
63, forest, minecraft:birch_forest, CREATURE, bewitchment:owl, 10, 1, 2
64, forest, minecraft:birch_forest, CREATURE, wildernature:owl, 12, 2, 3
65, forest, minecraft:birch_forest, CREATURE, bewitchment:raven, 10, 1, 3
66, forest, minecraft:birch_forest, CREATURE, wildernature:turkey, 12, 3, 5
67, forest, minecraft:birch_forest, CREATURE, meadow:wooly_cow, 10, 2, 3
68, forest, minecraft:birch_forest, AMBIENT, minecraft:bat, 10, 8, 8
69, forest, minecraft:birch_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
70, private, spectrum:black_langast, MONSTER, spectrum:eraser, 50, 4, 8
71, private, spectrum:black_langast, MONSTER, minecraft:zombie, 80, 4, 4
72, private, spectrum:black_langast, MONSTER, minecraft:skeleton, 80, 4, 4
73, private, spectrum:black_langast, MONSTER, minecraft:creeper, 80, 4, 4
74, private, spectrum:black_langast, MONSTER, minecraft:stray, 25, 4, 8
