1, amethyst_imbuement:witch_house, HEADING, header:ignore, 0, 0, 0
2, amethyst_imbuement:witch_house, MONSTER, amethyst_imbuement:sardonyx_fragment, 30, 1, 3
3, amethyst_imbuement:witch_house, MONSTER, minecraft:zombie, 20, 1, 3
4, amethyst_imbuement:witch_house, MONSTER, minecraft:skeleton, 20, 1, 5
5, minecraft:ocean_ruin_cold, HEADING, header:ignore, 0, 0, 0
6, spectrum:excavation_site, HEADING, header:ignore, 0, 0, 0
7, meadow:observation_post, HEADING, header:ignore, 0, 0, 0
8, meadow:observation_post, CREATURE, minecraft:pig, 5, 1, 4
9, spectrum:pedestal_ruins_deepslate, HEADING, header:ignore, 0, 0, 0
10, zenith:tower_main, HEADING, header:ignore, 0, 0, 0
11, spectrum:lizard_den/basal_marble, HEADING, header:ignore, 0, 0, 0
12, spectrum:lizard_den/basal_marble, CREATURE, spectrum:lizard, 5, 1, 2
13, meadow:chapel, HEADING, header:ignore, 0, 0, 0
14, spectrum:lizard_den/shalerite, HEADING, header:ignore, 0, 0, 0
15, spectrum:lizard_den/shalerite, CREATURE, spectrum:lizard, 5, 1, 2
16, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
17, minecells:insufferable_crypt, HEADING, header:ignore, 0, 0, 0
18, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
19, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
20, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 5, 4, 4
21, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 8, 5, 5
22, minecraft:fortress, MONSTER, minecraft:skeleton, 20, 5, 5
23, minecraft:fortress, MONSTER, minecraft:magma_cube, 30, 4, 4
24, minecraft:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
25, minecells:black_bridge, HEADING, header:ignore, 0, 0, 0
26, minecraft:village_taiga, HEADING, header:ignore, 0, 0, 0
27, minecraft:village_snowy, HEADING, header:ignore, 0, 0, 0
28, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
29, minecells:overworld_portal, HEADING, header:ignore, 0, 0, 0
30, zenith:tower_leaf, HEADING, header:ignore, 0, 0, 0
31, minecraft:monument, HEADING, header:ignore, 0, 0, 0
32, minecraft:monument, MONSTER, minecraft:guardian, 5, 2, 4
33, meadow:monument, HEADING, header:ignore, 0, 0, 0
34, meadow:monument, CREATURE, minecraft:pig, 5, 1, 4
35, minecraft:village_desert, HEADING, header:ignore, 0, 0, 0
36, minecells:prison, HEADING, header:ignore, 0, 0, 0
37, brewery:brewfest_tent, HEADING, header:ignore, 0, 0, 0
38, minecraft:stronghold, HEADING, header:ignore, 0, 0, 0
39, spellbladenext:arcanetower, HEADING, header:ignore, 0, 0, 0
40, minecells:ramparts, HEADING, header:ignore, 0, 0, 0
41, spectrum:lizard_den/blackslag, HEADING, header:ignore, 0, 0, 0
42, spectrum:lizard_den/blackslag, CREATURE, spectrum:lizard, 5, 1, 2
43, bloomingnature:cave, HEADING, header:ignore, 0, 0, 0
44, bloomingnature:cave, CREATURE, minecraft:witch, 5, 1, 4
45, bloomingnature:little_house, HEADING, header:ignore, 0, 0, 0
46, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
47, zenith:tower_spruce, HEADING, header:ignore, 0, 0, 0
48, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
49, minecraft:swamp_hut, MONSTER, minecraft:witch, 5, 1, 1
50, minecraft:swamp_hut, CREATURE, minecraft:cat, 5, 1, 1
51, ad_astra:pygro_village, HEADING, header:ignore, 0, 0, 0
52, minecraft:trail_ruins, HEADING, header:ignore, 0, 0, 0
53, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
54, minecells:promenade_wall_x, HEADING, header:ignore, 0, 0, 0
55, ad_astra:pygro_tower, HEADING, header:ignore, 0, 0, 0
